List number of emails under releases category with low importance.	GET message COUNT FILTER message.categories eq Releases FILTER message.importance eq Low
how many low important emails in releases category?	GET message COUNT FILTER message.categories eq Releases FILTER message.importance eq Low
Please provide me the list of low importance emails of releases category. 	GET message COUNT FILTER message.categories eq Releases FILTER message.importance eq Low
Provide me list of emails i have received and start from oldest to newest order.	GET message ORDERBY message.receivedDateTime asc
list out the emails i received from oldest to newest.	GET message ORDERBY message.receivedDateTime asc
Give me list of all emails I have received in ascending order.	GET message ORDERBY message.receivedDateTime asc
List the emails about Streptomycin that are marked as read and received by today.	GET message FILTER message.isRead eq True FILTER message.receivedDateTime eq today SEARCH Streptomycin
What are the emails that I have received today about Streptomycin and are marked as read?	GET message FILTER message.isRead eq True FILTER message.receivedDateTime eq today SEARCH Streptomycin
Filter a list of emails that I have received today marked as read about Streptomycin.	GET message FILTER message.isRead eq True FILTER message.receivedDateTime eq today SEARCH Streptomycin
What emails I have with high importance, no attachments and are marked as unread?	GET message FILTER message.hasAttachments eq False FILTER message.importance eq High FILTER message.isRead eq False
How many important unread emails do i have without attachments?	GET message FILTER message.hasAttachments eq False FILTER message.importance eq High FILTER message.isRead eq False
list out the emails having high importance and having no attachments and are marked as read.	GET message FILTER message.hasAttachments eq False FILTER message.importance eq High FILTER message.isRead eq False
Give me the number of emails.	GET message COUNT
What total number of emails I have?	GET message COUNT
List the number of emails.	GET message COUNT
List top 52 emails i have without attachment and start from oldest to newest.	GET message FILTER message.hasAttachments eq False ORDERBY message.receivedDateTime asc TOP 52
Provide me the top 52 emails i received today in ascending order with no attachments.	GET message FILTER message.hasAttachments eq False ORDERBY message.receivedDateTime asc TOP 52
List top 52 emails with no attachments that I have received ordered by receive time oldest to newest.	GET message FILTER message.hasAttachments eq False ORDERBY message.receivedDateTime asc TOP 52
What number of emails I have today with high importance?	GET message COUNT FILTER message.importance eq High FILTER message.receivedDateTime eq today
How many high importance emails that i have received today?	GET message COUNT FILTER message.importance eq High FILTER message.receivedDateTime eq today
