List the type of the recent files in my drive	GET drive.recent
Which people have created the files in my drive?	GET drive.root.children
How many files were last updated last Friday?	GET drive.root.children FILTER file.lastModifiedDateTime eq last Friday COUNT
Provide me the number of files that were last modified last Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq last Friday COUNT
Which Red Herring files were created by Rotenberry?	GET drive.root.children FILTER file.name eq Red Herring FILTER file.createdBy eq Rotenberry
Provide the files named Red Herring that were created by Rotenberry.	GET drive.root.children FILTER file.name eq Red Herring FILTER file.createdBy eq Rotenberry
How many xlsx files shared with me which were created last Tuesday?	GET drive.sharedWithMe FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
Give me the number of xlsx files which were created last Tuesday and shared with me.	GET drive.sharedWithMe FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
How many recent files which were last modified before two hours and shared with anyone?	GET drive.recent FILTER file.lastModifiedDateTime eq two hours ago FILTER file.sharedWith eq anyone COUNT
Give me the number of files shared with anyone and lastly modified two hours ago.	GET drive.root.children FILTER file.lastModifiedDateTime eq two hours ago FILTER file.sharedWith eq anyone COUNT
Show me the top 11 files about USPS shared with anyone ordered by name from A to z.	GET drive.root.children FILTER file.name eq USPS FILTER file.sharedWith eq anyone ORDERBY file.name asc TOP 11
Give me the top 11 files named as USPS shared with anyone ordered by name from A to Z.	GET drive.root.children FILTER file.name eq USPS FILTER file.sharedWith eq anyone ORDERBY file.name asc TOP 11
What are the top 8 interactome files that were created last Tuesday?	GET drive.root.children FILTER file.name eq interactome FILTER file.createdDateTime eq last Tuesday TOP 8
Give me the top 8 interactome files created last Tuesday.	GET drive.root.children FILTER file.name eq interactome FILTER file.createdDateTime eq last Tuesday TOP 8
Give me the number of recent excel files.	GET drive.recent FILTER file.fileType eq xlsx COUNT
Show me the number of recent excel files in my drive.	GET drive.recent FILTER file.fileType eq xlsx COUNT
Provide me the top 6 png files that Enriqueta Graveline created today in the order of their size from largest to smallest.	GET drive.root.children FILTER file.fileType eq png FILTER file.createdDateTime eq today FILTER file.createdBy eq Enriqueta Graveline TOP 6 ORDERBY file.size desc
What are the largest 6 png files created by Enriqueta Graveline today?	GET drive.root.children FILTER file.fileType eq png FILTER file.createdDateTime eq today FILTER file.createdBy eq Enriqueta Graveline TOP 6 ORDERBY file.size desc
Show me the number of files about rocchio-style method.	GET drive.root.children FILTER file.name eq rocchio-style method COUNT
How many files were about rocchio-style method?	GET drive.root.children FILTER file.name eq rocchio-style method COUNT
How many recent files i  have?	GET drive.recent COUNT
Give me the number of recent files i have.	GET drive.recent COUNT
Give me the files.	GET drive.root.children
Show me the files.	GET drive.root.children
List out the top 16 files which were created one hour ago in A - Z order.	GET drive.root.children FILTER file.createdDateTime eq one hour ago TOP 16 ORDERBY file.name asc
Tell me about the top 16 files that were created one hour ago ordered by name in ascending alphabetical order.	GET drive.root.children FILTER file.createdDateTime eq one hour ago TOP 16 ORDERBY file.name asc
How many ZionBank files were last modified this Monday that were shared with anyone?	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.lastModifiedDateTime eq this Monday FILTER file.name eq ZionBank COUNT
Give me the number of ZionBank files last modified this Monday that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.lastModifiedDateTime eq this Monday FILTER file.name eq ZionBank COUNT
Show me the files in drive which were last modified by Elton.	GET drive.root.children FILTER file.lastModifiedBy eq Elton
What were the files which were last modified by Elton?	GET drive.root.children FILTER file.lastModifiedBy eq Elton
Give me the number of recent files that were created by Sebastian Turpiano and last modified by Holak.	GET drive.recent FILTER file.lastModifiedBy eq Holak FILTER file.createdBy eq Sebastian Turpiano COUNT
How many recent files were created by Sebastian Turpiano and last modified by Holak?	GET drive.recent FILTER file.lastModifiedBy eq Holak FILTER file.createdBy eq Sebastian Turpiano COUNT
Provide me the top 12 last modified by of files.	GET drive.root.children TOP 12
What are the top 12 last modified by of files?	GET drive.root.children TOP 12
List the files named short-term context that were created by Rex Somer.	GET drive.root.children FILTER file.name eq short-term context FILTER file.createdBy eq Rex Somer
Which files named short-term context were created by Rex Somer?	GET drive.root.children FILTER file.name eq short-term context FILTER file.createdBy eq Rex Somer
How many files were last modified yesterday by Latanya Carmer?	GET drive.root.children FILTER file.lastModifiedBy eq Latanya Carmer FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me the number of files updated yesterday by Latanya Carmer.	GET drive.root.children FILTER file.lastModifiedBy eq Latanya Carmer FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me the files that were created this Tuesday and last modified two hours ago.	GET drive.root.children FILTER file.createdDateTime eq this Tuesday FILTER file.lastModifiedDateTime eq two hours ago
Which files were created this Tuesday and last edited two hours ago?	GET drive.root.children FILTER file.createdDateTime eq this Tuesday FILTER file.lastModifiedDateTime eq two hours ago
Give me the top 15 pdf files about rating which were last modified by Cleotilde Ruffaner in Z-A order.	GET drive.root.children FILTER file.lastModifiedBy eq Cleotilde Ruffaner FILTER file.name eq rating FILTER file.fileType eq pdf TOP 15 ORDERBY file.name desc
List out the top 15 pdf files about rating which last modified by Cleotilde Ruffaner ordered by name in descending alphabetical order.	GET drive.root.children FILTER file.lastModifiedBy eq Cleotilde Ruffaner FILTER file.name eq rating FILTER file.fileType eq pdf TOP 15 ORDERBY file.name desc
How many document files share with me about UPcommings which lastly modified by Metrick?	GET drive.sharedWithMe FILTER file.name eq UPcommings FILTER file.lastModifiedBy eq Metrick FILTER file.fileType eq doc COUNT
Give me the number of document files shared with me lastly modified by Metrick and about UPcommings.	GET drive.sharedWithMe FILTER file.name eq UPcommings FILTER file.lastModifiedBy eq Metrick FILTER file.fileType eq doc COUNT
What are the files that were lastly updated by Tarlton?	GET drive.root.children FILTER file.lastModifiedBy eq Tarlton
Give me the files that were last edited by Tarlton.	GET drive.root.children FILTER file.lastModifiedBy eq Tarlton
How many files were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users COUNT
List the number of files that were shared with specific users.	GET drive.root.children FILTER file.sharedWith eq specific users COUNT
How many files do I have in my drive about Done 11/03/00 that were last modified yesterday by Rossey?	GET drive.root.children FILTER file.lastModifiedBy eq Rossey FILTER file.name eq Done 11/03/00 FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me with the number of files named as Done 11/03/00 that were updated yesterday by Rossey.	GET drive.root.children FILTER file.lastModifiedBy eq Rossey FILTER file.name eq Done 11/03/00 FILTER file.lastModifiedDateTime eq yesterday COUNT
How many files were modified one hour ago named as mapping function that were shared with me and anyone in my organization?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization FILTER file.name eq mapping function FILTER file.lastModifiedDateTime eq one hour ago COUNT
Provide me with the number of files shared with me and anyone in my organization about mapping function that were updated one hour ago.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization FILTER file.name eq mapping function FILTER file.lastModifiedDateTime eq one hour ago COUNT
Which are the files that were shared with anyone in my organization?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization
Provide me the files shared with anyone in my organization.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization
What are the top 19 files shared with anyone in my organization ordered by size from small to big?	GET drive.root.children FILTER file.sharedWith eq anyone in my organization ORDERBY file.size asc TOP 19
Tell me about the top 19 files that were shared with anyone in my organization ordered by size from smallest to largest.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization ORDERBY file.size asc TOP 19
What are the top 10 organizational structure files created by Dina Delpit?	GET drive.root.children FILTER file.name eq organizational structure FILTER file.createdBy eq Dina Delpit TOP 10
